,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-20,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,Market,Değişim,Ürün
Yumurta,,,,,,,,,,,,,,,,,95.0,95.0,95.0,95.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,85.0,85.0,85.0,85.0,85.0,85.0,Tarım Kredi,-10.53,Tarım Kredi Gezen Tavuk Yumurta 10 Lu tarim_kredi
Yumurta,,,,,,,,,,,,,,,,,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,145.0,145.0,145.0,145.0,145.0,145.0,Tarım Kredi,-10.49,İzmir Ege Kooperatif 15'li Gezen Yumurta tarim_kredi
Yumurta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,89.0,Onur Market,-10.1,Coşkun Yumurta 10'Lu Jumbo
Yumurta,79.5,79.5,79.5,79.5,79.5,73.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,,,,,79.5,79.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,Şok,-10.06,Anadolu Çiftliği Omega 3 M 10'lu (53-62 Gr)
Yumurta,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,93.95,,,93.95,93.95,93.95,93.95,93.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,84.95,Migros,-9.58,M Life Gezen Tavuk 10'lu M Boy Yumurta ( 53-62 G)
Yumurta,,,,,,,,,,,,,,,,,108.0,108.0,108.0,108.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,108.0,99.0,99.0,99.0,99.0,99.0,99.0,Tarım Kredi,-8.33,Tarım Kredi Organik Yumurta 10 Lu tarim_kredi
Yumurta,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,160.95,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,149.45,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,149.45,Mopaş,-7.15,Gölyaka Gezen Tavuk Yumurtası 15'li
Yumurta,,,,,,,,,,107.0,107.0,107.0,107.0,107.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,Onur Market,-7.01,Taze Pazar Organik Yumurta 10'lu
Yumurta,,,,,,,,,,154.95,154.95,154.95,154.95,,,,,,,,,,,,,,,,,,,,,,,,154.95,154.95,154.95,154.95,154.95,145.0,Onur Market,-6.42,Coşkun Yumurta 63-72 gr 20'li
Yumurta,,,,,,,,,,,,,,,,,159.0,159.0,159.0,159.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,Tarım Kredi,-6.29,Artorganik Yumurta 15 li tarim_kredi
