,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
69,"Cam, porselen, seramik vb. mutfak eşyaları",5.196973702216323,4.249969330386971,1.2003046977266063,0.41391127141121586,0.002559795406131826
70,Çatal-bıçak takımı,4.539418705622711,4.76807443087508,0.7139504195611934,0.1340107424281367,-0.392972363667643
71,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",4.22794893250793,2.8817110548657654,0.40390960225058503,0.8211217680894833,0.10571216379615667
72,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",4.696457427816569,3.184738535368359,0.8962578178353109,3.4086505686088175,1.1541984648002046
73,Evle ilgili küçük bakım-tamir mal ve hizmetleri,4.599228742292216,2.189027114453901,-0.21508009202230172,-0.543520787002505,1.6159339032683295
74,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",5.926145257901383,2.766766443316615,1.4385064869031572,1.8823702951340504,-0.03128454349217158
75,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",7.650544092604483,5.560314688270962,0.24991072238209622,0.0566271652492345,-1.0825064653005145
76,Ev içi hizmetler (gündelikçi ücreti),4.387469335475336,0.0,0.0,0.0,0.0
77,Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,12.269720304821297,28.14787093424176,16.376265221292073,-6.44315148815301,-6.526054048947061
78,İlaçlar,0.02851051170169594,-0.11772724456284855,0.0,0.0,-0.0068812959753250524
79,"Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)",-22.318873026743226,-1.2491911762628205,0.0,0.0,0.0
80,Benzinli ve elektrikli otomobiller (sıfır km),0.7099632156245317,0.608683247506181,4.50602486216396,4.123058352695463,1.2158475532220825
81,Dizel otomobiller (sıfır km),0.3175900991233993,0.5284360710557046,4.3555989992854816,3.5066152580127463,0.6100504316595146
82,Motosikletler,5.836068231380365,1.5004771676268458,1.428010071213981,1.6369011343748907,-0.0365347848152453
