,Dayanıklı Mallar (altın hariç),Diğer hizmetler,Diğer Temel Mallar,Diğer işlenmemiş gıda,Diğer işlenmiş gıda,Ekmek ve tahıllar,Enerji,Giyim ve ayakkabı,Haberleşme hizmetleri,Kira,Lokanta ve oteller,"Mücevheratlar,altın ve kol saatleri",Taze Meyve Sebze,Ulaştırma hizmetleri,TÜFE,Hizmet,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Temel mallar,TÜFE B,TÜFE C
2023-10-31,1264.1,1652.51651813546,1374.89,3348.43105212566,2062.1,2360.25,1465.7,513.812094381281,396.64,1760.52473086336,3251.52996505739,3400.29,2468.35838075281,2191.90380568451,1803.4911353830248,2069.797766767565,2443.58194601165,2925.489981129136,1093.5562622222596,1668.1259722241414,1528.0803868293758
2023-11-30,1272.44,1725.8622041916,1411.46,3453.36550630472,2185.81,2427.89,1611.98,522.948087159211,417.28,1883.76912824273,3396.6260796508,3694.16,2317.71367996722,2259.24445611744,1872.7055070508345,2176.0563067485773,2503.9515962753417,2907.599440235329,1108.4852926878584,1737.50480089343,1583.6600913220595
2023-12-31,1307.64,1793.12678987946,1464.44,3590.72754042884,2245.46,2496.79,1656.12,530.27273829768,429.97,1999.94472552656,3454.75972948326,3710.24,2609.59564158427,2315.29264637103,1943.6336341345127,2246.51899511247,2626.075387586473,3119.2199143155713,1140.4378788392607,1789.5117154080494,1632.7534857411936
2024-01-31,1370.43,1895.69763093234,1544.64,3764.36793503249,2312.17,2619.16,1757.86,545.5269944719,440.14,2164.19469967129,3790.4500823837,3889.62,2696.78912912899,2451.57257618803,2052.4092194251234,2437.983958627726,2725.251797804211,3251.316072124768,1194.771666474324,1895.7015885503934,1748.124223637287
2024-02-29,1391.05,1993.00055838421,1586.9,3957.38573681191,2497.67,2769.6,1809.83,567.910412918259,467.74,2314.10180796903,3992.56779206318,3910.77,2787.35072244404,2518.5988175769,2152.2340311354715,2577.7664123379122,2890.0854780922764,3395.0959644136374,1220.743188454796,1996.738575892389,1824.7528783562484
2024-03-31,1433.32,2106.91753775378,1630.02,4144.25537564889,2537.58,2796.01,1835.04,588.508175535431,498.75,2475.730840807,4156.7172930493,3954.55,2933.2880898601,2561.32596395916,2228.2927334027445,2710.2071084934028,2980.0258498653156,3562.294570077778,1257.5557208882944,2066.13400845502,1904.1294115371218
2024-04-30,1465.97,2202.07109796151,1679.07,4224.7519220251,2578.91,2852.35,1835.0,600.510499628634,520.95,2633.54288741077,4348.60685260054,4301.16,2938.26656818213,2700.31659439317,2288.417971515979,2848.9191291462903,3024.1411996954002,3606.499008289102,1288.530492963981,2136.7585970115665,1983.057926009155
2024-05-31,1493.63,2298.89994682864,1711.01,4315.37262809922,2673.79,2968.17,1925.11,619.832047132288,532.77,2801.07371182122,4534.5396071553,4477.6,3051.53853145233,2765.75598783732,2373.7641840757847,2985.8200400276787,3123.965279934492,3708.005346072458,1314.9843031210248,2217.865036284712,2058.6716310633046
2024-06-30,1486.15,2372.9397919507,1740.16,4335.33017808315,2722.29,3105.99,1952.63,629.78284359833,555.15,2963.51015122971,4663.06888863076,4482.78,3477.68921565619,2864.75310301259,2446.4959973350988,3099.3992783324175,3249.538427169011,3923.169229358867,1320.3286278656265,2274.0503240383428,2112.1912083941506
2024-07-31,1495.32,2444.4156291473,1780.87,4398.80904045437,2778.67,3215.97,2147.89,628.506481041513,585.44,3149.1951652413,4795.77320107052,4729.28,3431.56147736603,2957.01313344668,2520.8556821201114,3222.53293144339,3293.2769087300326,3933.973881315511,1333.905193148566,2337.288315458046,2174.531524717519
2024-08-31,1517.69,2540.25188203682,1806.51,4459.15866408348,2850.16,3278.72,2294.76,630.310689777011,589.02,3347.24531643284,4916.29801959657,4937.4,3379.44682841398,3132.76857873814,2590.4645076048764,3346.0864377035296,3337.452819904786,3940.275968370031,1351.6532114870267,2403.335456211092,2239.373460702115
2024-09-30,1545.29,2637.78232045933,1832.41,4690.9698419624,2897.97,3324.75,2304.82,643.978817183099,590.98,3545.91072633179,5102.17130411989,5143.48,3445.6311529206,3236.3030963657,2664.7619321194948,3491.968558749801,3427.303464406226,4092.4909935337537,1375.2370964678112,2474.08409387381,2317.392169156321
2024-10-31,1556.12,2741.33678784526,1855.2,4703.64881558122,2950.93,3426.11,2335.85,665.32686827252,599.84,3739.15857078925,5262.87976825212,5156.03,3861.83822291014,3241.77606377697,2745.1965279787496,3627.355907229246,3547.646620837069,4299.09554944567,1391.512603934671,2541.5793997186292,2386.684238821529
2024-11-30,1575.82,2848.55679196411,1912.27,4877.70691391628,2992.98,3490.88,2354.77,679.857520033562,611.14,3938.16371959348,5407.79603042363,5151.6,4412.9173383096,3348.1269814231,2842.91701149767,3761.6434651115937,3718.8437804105642,4654.340586010131,1418.3127041205544,2609.4433728076697,2461.3268997306986
2024-12-31,1601.29,2924.52018911654,1942.18,4969.5325040427,3047.57,3542.15,2370.07,694.266326279784,619.96,4127.00165160242,5441.37728613537,5154.24,4361.14427654532,3413.24276013775,2886.7528803124587,3846.9761904421794,3760.2217807963452,4677.156230026567,1441.9029068821808,2661.2093496285206,2512.398637999061
2025-01-31,1645.24,3123.14596758927,1991.03,5007.7535457171,3149.43,3828.44,2514.68,692.99844886189,637.46,4339.79437838648,5677.10549378792,5217.0,4348.9266369603,3510.77501858441,2988.442274176311,4032.701126114353,3846.4710610600564,4691.137694032643,1475.1729803297148,2770.483496912981,2613.5262192884843
2025-02-28,1663.53,3152.78520700994,2016.04,5095.32210473972,3292.0,4020.67,2604.67,686.644911663348,660.77,4555.26622639593,5835.80076947874,5245.61,3953.79200133291,3769.86211976784,3047.7645574686962,4170.139280654326,3878.323961654667,4546.731084686211,1488.5578830514833,2858.8440931168966,2682.127101253091
2025-03-31,1703.1085746851015,3224.52553807073,2037.3298394184403,5140.82627958127,3344.376221681517,4077.391421931122,2708.4128434457975,700.64852121637,647.4742877482441,4761.10015475815,6050.50466798867,5722.564250806691,4213.03772192939,3948.35397601441,3139.0367153278403,4323.671154463957,3969.9410819344207,4694.954138568766,1517.3352065800025,2935.7345595346897,2766.432551274146
