,Dayanıklı Mallar (altın hariç),Diğer hizmetler,Diğer Temel Mallar,Diğer işlenmemiş gıda,Diğer işlenmiş gıda,Ekmek ve tahıllar,Enerji,Giyim ve ayakkabı,Haberleşme hizmetleri,Kira,Lokanta ve oteller,"Mücevheratlar,altın ve kol saatleri",Taze Meyve Sebze,Ulaştırma hizmetleri,TÜFE,Hizmet,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Temel mallar,TÜFE B,TÜFE C
2021-02-28,375.14,517.195781180035,426.07,705.789258515077,560.69,625.8,484.97,261.813710694588,191.88,580.877829553944,760.779101695845,1059.94,613.373349796271,516.093253463494,506.9036138024516,572.7615789718164,608.4573629007076,661.3764677512454,357.11057643303025,481.5305993307837,453.096623597105
2021-03-31,376.46,525.497426798364,438.18,700.672449413403,565.27,633.31,485.41,267.255296098448,194.42,586.619709920504,778.361044809747,1064.4,623.197166953523,521.364471920795,512.170539965815,582.6160820647902,612.3360597185415,663.4397526086892,361.9441409516194,488.1331117831144,460.16500289111883
2021-04-30,381.91,534.174081023235,447.65,681.389027989154,571.6,637.73,485.88,274.553133833662,193.39,593.608455605323,788.69549622991,1081.69,667.801721319186,520.664503917575,518.7418477354609,589.6427041281302,620.5183699508386,674.8593058174722,368.78458379610515,494.83258529978383,467.08831392110574
2021-05-31,385.4,540.383200640104,448.6,707.93236134884,576.17,644.08,493.16,269.741651174192,195.32,600.495331395918,796.687589035684,1095.12,673.923738140395,548.268662313416,524.6036821844151,596.4086791552638,630.1993938442322,691.5886615717983,369.53633754077623,498.6099704875691,470.5169915885849
2021-06-30,396.88,549.531358216461,465.13,742.886012677191,589.34,653.93,504.23,277.644417918261,195.92,606.171829883284,815.221292241377,1099.0,689.305592019865,555.197713290344,537.5736518187599,606.4319605533933,648.0175158380403,717.1365930731217,381.2253854823728,509.9432585793481,481.4646084952073
2021-07-31,396.46,556.543746291318,471.88,769.085316681433,603.47,673.06,535.44,279.037493873499,196.17,609.83518090199,837.472365483892,1095.74,730.276015878693,551.621575357377,551.3168489519625,616.5910243820542,670.441681042214,750.4345304679123,382.8988391560005,517.6765188524582,486.91499882560055
2021-08-31,392.42,561.821892831134,481.68,803.323750538594,617.9,685.18,538.82,274.90491426818,198.31,614.724004819307,859.689228110178,1093.02,855.844627094116,553.217892042256,566.3653418249936,627.256954110757,710.3891455285031,828.5639795590198,381.96330380538933,524.2341120646653,491.1432640655991
2021-09-30,400.11,571.387202472801,489.04,837.668990727041,623.43,702.56,550.7,274.402782122714,199.11,618.947817367167,889.018664732779,1094.87,814.571805255938,552.010259130368,573.9829634441462,640.644139376931,714.1562299370743,826.5690569625768,387.44314467510355,532.9196196736975,500.14265607695336
2021-10-31,405.04,583.773797080224,496.37,853.076481034778,633.13,724.79,575.9,271.480002359645,199.99,624.700810258739,918.357092719212,1160.21,793.7898631096,562.523903807558,584.0220776223042,655.1618958291573,720.484325511625,824.5848047259094,390.8685790749206,542.1423074811148,508.5052720115056
2021-11-30,421.48,601.419562683575,517.58,898.738074021219,655.56,777.0,610.18,276.073071742091,201.13,634.534858649591,965.54874577446,1192.96,760.296497897959,581.747218068332,604.6282524834809,678.3526105755445,740.1434544186752,832.2064904592837,405.2985505855206,562.7353657919962,526.834641640004
2021-12-31,549.33,645.548227885919,586.81,1058.6538561052,751.89,929.58,669.68,304.342117263091,201.56,647.929820835871,1052.93649874575,1363.98,831.094225264416,632.572201547549,684.5420677501403,721.5074286606814,850.950970414321,949.2943485167636,493.93801583267833,640.2130147744381,595.2289355856751
2022-01-31,584.66,661.905997203495,645.53,1122.44622302853,834.9,1001.04,853.24,317.200835383548,206.41,653.91130936292,1122.27045828371,1599.72,927.700264107361,706.851597958277,751.4003568241968,752.8206497709494,931.3175599712752,1028.856151301977,528.6975254739447,684.793714583088,628.454505622752
2022-02-28,603.76,683.438624401044,689.75,1143.84353450046,866.62,1055.11,887.38,328.861572891505,208.93,668.205055354261,1178.0560492832,1616.36,1111.17118115812,755.467883311782,788.9128421085618,781.8273053773979,992.784820414905,1128.1420128374475,551.5367228840297,712.805134178512,654.0388325539119
2022-03-31,634.5,709.086645831873,726.74,1210.69028821939,888.09,1114.73,985.07,337.669164002644,213.42,682.809676032518,1248.98497838299,1696.66,1151.10165145788,836.655225323623,830.4574152488253,817.8814291325767,1031.5018501544894,1182.0534691578212,577.9721286927331,742.9691232447058,684.7555201725723
2022-04-30,666.9,736.172419169773,740.58,1324.33638083922,994.48,1184.99,1060.18,347.752628743141,219.53,702.191591951892,1333.16730438853,1756.48,1383.13322347183,925.563107088184,896.6797769827295,860.8030430810875,1159.9352524116553,1352.5926833050817,600.3589786666581,790.7602152962875,716.2823732077547
2022-05-31,681.2,763.168986434179,769.73,1400.18796649472,1057.16,1228.22,1090.92,349.538123621413,223.42,722.925857014973,1400.5216029327,1856.0,1322.2791938784,983.071512308201,926.3646812089647,897.1802434364274,1199.265394192433,1362.7469450856925,614.753556504363,823.266128912823,740.4613945070116
2022-06-30,706.04,788.301132205939,793.7,1473.48086230979,1151.55,1288.86,1267.26,354.30472332419,230.49,747.728520167054,1460.9772012016,1916.19,1234.63609889545,1016.98180973661,978.3639592649276,932.1622547215566,1250.1872483160323,1358.6980002504642,634.1640665312997,864.3519809481463,766.802764286921
