name,id,location,distance_to_center,rating,review_text,review_count,price,features,image_urls
Malta Bosphorus Hotel & Suites,478234,"Ortaköy, Beşiktaş, İstanbul",Merkeze 1.4 km,8.8,Müthiş,(38 yorum),2.760 TL,"Kahvaltı Dahil, Otopark, Spa, Wi-Fi, Restoran, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290584070000/2/1/8432/malta_bosphorus_hotel___suites.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/242709/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/242710/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/242711/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/242712/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Askadar May Otel,1427159,"Üsküdar, İstanbul",Merkeze 1.5 km,8.8,Müthiş,(16 yorum),6.307 TL,"Kahvaltı Dahil, Otopark, Wi-Fi, Restoran, Teras, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638113052727270000/2/1/25687/may_otel_uskudar.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/512157/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/512158/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/512159/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/512160/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Four Points by Sheraton İstanbul Kağıthane,1382697,"Kağıthane, İstanbul",Merkeze 5.5 km,8.7,Müthiş,(25 yorum),6.214 TL,"Otopark, Spa, Toplantı Odaları, Wi-Fi, Restoran, Spor Salonu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294278870000/2/1/11066/four_points_by_sheraton_istanbul_kagithane.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/18007/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/18008/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/18009/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/18010/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Holiday Inn İstanbul Tuzla Bay,618501,"Tuzla, İstanbul",N/A,8.7,Müthiş,(180 yorum),5.400 TL,"Spa, Toplantı Odaları, Deniz Manzarası, Deniz Kıyısı, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293197700000/2/1/10018/holiday_inn_istanbul_tuzla_bay.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/128000/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/127974/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/127971/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/127981/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Center Inn Hotel Maltepe İstanbul,1399994,"Maltepe, İstanbul",Merkeze 7.3 km,8.0,Çok iyi,(87 yorum),3.700 TL,"Havuz, Spa, Toplantı Odaları, Hamam, Masaj, Fitness","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294304200000/2/1/11225/center_inn_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/458816/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/458820/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/458828/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/458824/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Avantgarde Levent,103800,"Levent, Beşiktaş, İstanbul",Merkeze 3.3 km,7.4,Normal,(26 yorum),5.957 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi, Jakuzi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952291468470000/2/1/9081/avantgarde_levent.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122990/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122991/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122977/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/122978/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Cher Hotel & Spa İstanbul,1360130,"Taksim, Beyoğlu, İstanbul",Merkeze 700 m,8.4,Çok iyi,(37 yorum),4.793 TL,"Havuz, Spa, Toplantı Odaları, Hamam, Restoran, Masaj","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952288984700000/2/1/7280/cher_hotel___spa_istanbul.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12329/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12330/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12331/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12332/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Elite World Grand Istanbul Küçükyalı,1104552,"Maltepe, İstanbul",Merkeze 2 km,9.1,Muhteşem,(141 yorum),3.859 TL,"Havuz, Spa, Toplantı Odaları, Deniz Manzarası, Jakuzi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294258200000/2/1/10938/elite_world_grand_istanbul_kucukyali.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169332/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169333/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169334/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/169335/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Bilek Boutique Hotel Kavacık,478890,"Beykoz, İstanbul",N/A,8.3,Çok iyi,(34 yorum),3.825 TL,"Restoran, Resepsiyon, Engelli Dostu, Çocuk Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293356030000/2/1/10081/bilek_boutique_hotel_kavacik.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/251736/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/251737/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/251738/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/251739/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Tryp by Wyndham İstanbul Ataşehir,1354901,"Ataşehir, İstanbul",Merkeze 2.1 km,8.4,Çok iyi,(44 yorum),3.560 TL,"Otopark, Spa, Toplantı Odaları, Wi-Fi, Hamam, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293783330000/2/1/10434/tryp_by_wyndham_istanbul_atasehir.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15102/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15103/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15104/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/15105/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Miracle İstanbul Asia Airport Hotel & Spa,105204,İstanbul,N/A,8.5,Müthiş,(86 yorum),3.448 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Wi-Fi, Restoran","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637951319969600000/2/1/166/miracle_istanbul_asia.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/11241/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/11240/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/11243/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/11245/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Point Hotel Barbaros,104019,"Gayrettepe, Beşiktaş, İstanbul",Merkeze 2.5 km,8.4,Çok iyi,(15 yorum),7.017 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Çalışma Alanları, Wi-Fi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952289798330000/2/1/7373/point_hotel_barbaros.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/126376/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/126377/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/126378/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/126379/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Ramada By Wyndham Istanbul Ümraniye,1495882,"Ümraniye, İstanbul",Merkeze 5.2 km,8.7,Müthiş,(7 yorum),3.800 TL,,"https://media.dev.paximum.com/hotelimages/1495882/b22036e5ba2c8ca166907d162f7404bc.jpg?width=552&height=392&mode=crop&anchor=center, https://media.dev.paximum.com/hotelimages/1495882/802a1b1973ce35faf6e3fab008ee7e46.jpg?width=552&height=392&mode=crop&anchor=center, https://media.dev.paximum.com/hotelimages/1495882/f2023bd5cbc8f42f6912384bfb489288.jpg?width=552&height=392&mode=crop&anchor=center, https://media.dev.paximum.com/hotelimages/1495882/8c4e70e198a25c775f532c623c6bd68c.jpg?width=552&height=392&mode=crop&anchor=center, https://media.dev.paximum.com/hotelimages/1495882/3648cca1bb12084d698d1123340e4a30.jpg?width=552&height=392&mode=crop&anchor=center"
Delta Hotels By Marriott İstanbul Kağıthane,1315686,"Kağıthane, İstanbul",Merkeze 4.9 km,8.5,Müthiş,(35 yorum),3.813 TL,"Havuz, Spa, Toplantı Odaları, Jakuzi, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294228670000/2/1/10755/delta_hotels_istanbul_kagithane.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218406/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218407/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218408/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/218409/ob.jpg?width=552&height=392&mode=crop&anchor=center"
The Gate Ataşehir Finance Centre,107216,"Ataşehir, İstanbul",Merkeze 2.7 km,8.1,Çok iyi,(40 yorum),3.796 TL,"Otopark, Toplantı Odaları, Wi-Fi, Restoran, Resepsiyon, Engelli Dostu","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952289887270000/2/1/7471/the_gate_30_suites.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/13076/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/13077/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/13078/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/13079/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Anemon Bakırköy,637175,"Bakırköy, İstanbul",N/A,8.2,Çok iyi,(14 yorum),2.800 TL,"Otopark, Wi-Fi, Teras","https://media.dev.paximum.com/hotelimages/637175/459e0e258efc72dc6fa102394c39d01f.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/426942/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/426943/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/426944/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/426945/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Bof Hotels Ceo Suites Ataşehir,506987,"Ataşehir, İstanbul",Merkeze 5 km,9.0,Muhteşem,(633 yorum),3.050 TL,"Otopark, Havuz, Spa, Toplantı Odaları, Çalışma Alanları, Wi-Fi","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952142583770000/2/1/180/bof_hotels_ceo_suites_atasehir.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/406434/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/406435/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/406436/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/406437/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Royal Mass Airport Business Hotel,1489284,"Arnavutköy, İstanbul",N/A,6.2,Misafir Puanı,(5 yorum),1.822 TL,Wi-Fi,"https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638448036911870000/2/1/36432/royal_mass_airport_business_hotel.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/565597/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/565598/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/565599/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/565600/ob.jpg?width=552&height=392&mode=crop&anchor=center"
Golden Age Hotel Taksim,101312,"Taksim, Beyoğlu, İstanbul",Merkeze 300 m,7.3,Normal,(16 yorum),4.253 TL,"Havuz, Spa, Toplantı Odaları, Wi-Fi, Restoran, Hamam","https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293810970000/2/1/10559/golden_age_hotel_istanbul.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12026/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12027/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12028/ob.jpg?width=552&height=392&mode=crop&anchor=center, https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/12029/ob.jpg?width=552&height=392&mode=crop&anchor=center"
