,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,Konut,Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,TÜFE
2025-02-27,101.1486604516798,110.94072437622124,117.87109682952963,105.57213955341103,111.6698375509048,107.36131974678426,97.74469379250914,110.42071091292792,103.3923211384429,122.43862830406644,105.1198268908498,110.18021762237125,107.75496476812869
2025-02-28,101.1486604516798,110.95800877468126,117.87109682952963,105.5566674351873,111.60645974968214,107.38711490179486,97.70941186803871,110.4740131089472,103.89257160603836,122.43862830406644,105.19624097836642,110.01381623481394,107.81341542068137
2025-03-01,111.15844789133696,111.10207003181792,117.87109682952963,105.75543686086228,111.68604298549398,107.62592264570534,97.71281984121232,110.5163858793794,103.69910489053083,122.3764659665578,104.88859383894896,110.0944817126984,108.25168359629812
2025-03-02,111.15844789133696,111.11515826545924,117.87109682952963,105.6540698251286,111.72036838248404,107.75303563594186,97.751575917023,110.55319425806326,103.80297501322087,122.3764659665578,104.88855524829232,110.04016649160576,108.30374991215442
2025-03-03,111.15844789133696,111.09765025981667,117.87109682952963,105.69933836227082,111.75248752969829,107.80343179802932,97.81923537831206,110.64513683619566,103.37249176931908,122.3764659665578,104.88707628738192,110.08132790364829,108.3009817770422
2025-03-04,111.15844789133696,111.15186202833456,117.87109682952963,105.79089330065528,111.8792285837213,108.35979871506947,97.76063675994529,110.93254116796952,105.12201095996022,122.3764659665578,104.68900231068552,110.318287268812,108.65365582076328
2025-03-05,111.15844789133696,111.30134567296253,117.87109682952963,105.79259806274656,112.08129415175362,109.3194549668084,97.77302691038108,110.99129892789476,105.20106693757933,122.3764659665578,104.6828124366572,110.44964197844786,108.97338056071716
2025-03-06,111.15844789133696,111.22253154869884,117.87109682952963,105.72127384450704,112.12146389072132,109.7078927541238,97.72810964672966,111.17349076850638,105.33563602055146,122.3764659665578,104.46379868859586,110.52187087814735,109.09072725327336
2025-03-07,111.15844789133696,111.26971033930192,117.87109682952963,105.659535745281,112.08210343334234,109.78982982239614,97.64067523572636,111.32712167989632,105.71930418869998,122.3764659665578,104.08622634509554,110.50648524626877,109.11688131383468
2025-03-08,111.15844789133696,111.23607395412522,117.87109682952963,105.56901615413314,112.04596810560736,110.0457781069646,97.6719376891314,111.3025533806253,105.33322827139732,122.3764659665578,104.11877891934265,110.47811456726188,109.14826720803352
2025-03-09,111.15844789133696,111.32466634740712,117.87109682952963,105.5424334704522,112.04116623482776,110.0610372665485,97.66667139341958,111.34144457633424,105.48249295659252,122.3764659665578,104.08255476193948,110.4583925086034,109.17239852971876
2025-03-10,111.15844789133696,111.434307710713,117.87109682952963,105.64680910354336,112.08907209935715,110.00247700343004,97.6730263088934,111.42930101585917,105.7061905482407,122.3764659665578,103.99112155577724,110.5051724212034,109.1942253778535
2025-03-11,111.15844789133696,111.51996291094704,117.87109682952963,105.82876698564232,112.10725813370404,110.66837278782508,97.60653721681146,111.52883307585134,105.49347990140132,122.3764659665578,104.01004146109987,110.60030321128046,109.39486785852904
2025-03-12,111.15844789133696,110.78221025487944,117.87109682952963,105.4418737231086,111.0501307374263,110.95282807602182,97.56945598528544,111.66851969114704,105.53851082723308,122.3764659665578,104.44560346847264,110.33579161916003,109.3960477507706
2025-03-13,111.15844789133696,110.3786348176928,117.87109682952963,105.3442184547861,110.53302020210224,111.02296878911564,97.52783982967898,111.73370116469384,105.74755220140048,122.3764659665578,104.4734865469355,110.30444733773383,109.36931498564748
2025-03-14,111.15844789133696,110.23649221992078,117.87109682952963,105.26092759342792,110.27027834728032,110.82693584996676,97.51376623602393,111.7888483318288,105.82595167759592,122.3764659665578,104.82920236460431,110.32670931962184,109.34353079745738
2025-03-15,111.15844789133696,110.2352083534293,117.87109682952963,105.2616616081813,110.13573036579582,110.70595412404532,97.51376623602393,111.86706755636752,105.67003424831248,122.3764659665578,104.82539949456108,110.3129549422488,109.296449618476
2025-03-16,111.15844789133696,110.22371618710947,117.87109682952963,105.23945465488312,110.1370071246952,110.76003162612362,97.5030431457035,111.80903146992247,106.30445595580004,122.3764659665578,104.82741038756728,110.30528518384013,109.35629149259
2025-03-17,111.15844789133696,110.58664215525329,117.87109682952963,105.37758468249912,110.30710352578733,110.68215817343092,97.47693965629809,111.91145837421068,107.1415235224456,122.3764659665578,104.81807790714156,110.3711248079876,109.47039361455772
2025-03-18,111.15844789133696,110.96431986599391,117.87109682952963,105.73213039087864,110.81378208962084,110.97595963419204,96.84144915871173,112.12764646007618,107.29752360638126,122.3764659665578,104.82022481550672,110.80845529144833,109.67189110313376
2025-03-19,111.15844789133696,111.05404084310122,117.87109682952963,105.74684123074996,111.34031571119658,111.22516743705803,96.91712322021998,112.20667650431145,107.38381639436844,122.3764659665578,104.7731337282304,112.8436479195332,109.88403007575432
2025-03-20,111.15844789133696,111.3835537215042,117.87109682952963,105.88409783555966,111.48897838691964,111.23741512744051,97.04185815408216,112.31051237619336,107.56044677230028,122.3764659665578,104.47841121716252,113.58468683469854,109.95392108327192
