,Enerji,Taze Meyve Sebze,Diğer işlenmemiş gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Mücevheratlar,altın ve kol saatleri",Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,Hizmet,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Temel mallar,TÜFE B,TÜFE C
2025-01-18,107.33495334849776,100.29496113182093,101.50136103491695,101.4338147140182,102.24927532672628,100.44372851964692,101.29778988824806,101.07765563588148,100.23142743695593,102.84934444813996,101.7766838092403,104.49670465930552,99.95251951768805,110.2331939526594,103.27085471919273,101.7638769068844,100.93630487556864,101.15706255844734,101.97864449225439,101.93743001499593
2025-01-19,107.3154257291658,100.29496113182093,101.50136103491695,101.4338147140182,102.27321365893738,100.56803386133882,101.30845596344398,101.2713886958172,100.2707659898809,102.9786235036241,101.67166782027326,104.49670465930552,99.97220212454619,110.4949061120226,103.31049613954065,101.7758628411869,100.93630487556864,101.2601711676675,102.04378296613037,102.01771788795156
2025-01-20,107.60387374549695,100.23330764031016,101.58138461796052,101.4338147140182,102.419996614538,100.79996838693488,101.41519793608926,101.47885491875913,100.49498735063284,103.1101291703142,102.39671072576412,104.49670465930552,99.97236329443055,110.816997564326,103.71300085166332,101.86061883090994,100.94996944829572,101.42030991469042,102.2565415086803,102.26123553914371
2025-01-21,107.60565349108758,99.68298589322605,101.5808290222082,101.4338147140182,102.42285445686208,101.20492071226596,101.40151526114836,101.79855870703396,100.85756693323822,103.24096662396036,102.4412487281363,104.49670465930552,99.9010825202821,111.5614791696114,103.8972782662332,101.78103896509684,100.691913210166,101.58345292699693,102.38206245505553,102.42775985028263
2025-01-22,107.6084493174134,99.78969192856113,101.61980041459856,101.43517910030582,102.48117751046009,101.29983312774736,101.41192663543352,101.946108102472,101.11638560307112,103.37082283385502,103.28817096906536,104.49670465930552,99.92092653922481,111.78955844802786,104.31859767284188,101.83549182357945,100.76261029906792,101.6630896741142,102.5516245999466,102.63776496641523
2025-01-23,107.60870695602922,99.82120328478496,101.61980041459856,101.43517910030582,102.5331019697581,101.40675599990922,101.43105121094304,102.16515576606848,101.25881908227169,103.49505684686166,103.29124633359474,104.49670465930552,99.92201490557784,111.2788554740748,104.2898862645546,101.88879102036228,100.77736965529634,101.78171511747715,102.6090089011028,102.70007873399729
2025-01-24,107.6163070938161,97.77236470676424,101.91480594194016,102.58672826935803,103.4504717238403,101.4510020229923,101.47020494760316,102.61427115957022,101.61127524500924,103.61626339870708,103.25418945318069,104.49670465930552,99.95188599543408,111.39006302383468,104.32873966224015,102.1929114031137,99.974560482149,102.01789304148623,102.9789577080717,102.87376699285525
2025-01-25,107.61592838713868,96.73763137545708,101.97735895372804,102.91809773459536,103.73797933234724,101.55620075021103,101.48588146427326,103.05302135054278,101.70134699565727,103.73468991654632,103.0538079357505,107.88934341084018,99.94634537156216,111.57091034048592,104.3913335064668,102.18706383474353,99.52316417651448,102.24026717458285,103.18106336708263,103.04481527922273
2025-01-26,107.61724371905623,97.4722813303522,101.96515989355616,102.91809773459536,103.80607557205278,101.73811910289908,101.55814595430084,103.3997663190444,101.81892848444843,103.85392560133936,103.48182968374536,107.88934341084018,99.95315859990109,111.58405749875236,104.60198522579834,102.35632618547788,99.86077585072996,102.44871343370531,103.3562395119369,103.25971739515128
2025-01-27,107.62285265629612,97.60159188127034,102.29627638911283,103.19568555223562,103.86681893722007,102.06291963322396,101.58864005886348,103.81474255392814,101.87466735375162,103.97393161168684,103.48331969036585,107.88934341084018,99.9727791577861,111.55823678376322,104.64226468968694,102.50970409195712,100.09737004757083,102.6755896339711,103.49957298536285,103.41754729417036
2025-01-28,107.62374459268251,97.72082936027508,102.51857574077432,103.40290549668292,103.90121605681742,102.9760760457196,101.69226367052826,104.58913357765115,102.01953917238134,104.085035876465,103.6345633300404,107.88934341084018,99.93118950749081,111.70682339021482,104.7676557716583,102.62644073990616,100.2713970595304,103.13370005486057,103.76316983140413,103.74708231842327
2025-01-29,107.2985009233148,98.55654369613904,102.86328781477047,103.40290549668292,103.97584263865052,102.96103375634569,101.65180886225085,105.11931475139296,102.05976141100862,104.085035876465,103.7758818976361,107.88934341084018,99.88019997065103,109.97413980560223,104.57043361451728,102.92762437441334,100.84608582003852,103.36784774254772,103.84263605289358,103.83263216242291
2025-01-30,107.3318539492261,98.33577094009333,102.98883204886516,103.40290549668292,104.12559441014672,103.07879211200724,101.68622274808855,105.23408041026184,102.56080659285855,104.0340476837632,103.46154927493414,107.88934341084018,99.86628531923049,104.57636627337784,103.6091522652198,102.98596828014044,100.80942136374487,103.44352258518926,103.63325762186736,103.51268158541028
2025-01-31,107.04559377815757,96.90597938339975,102.87365080737148,103.40290549668292,104.31713819097656,103.25344754010332,101.71348231712504,105.37555328159192,102.69735242768152,104.03377997588824,103.73010406567154,107.88934341084018,99.88058710763093,104.39280349290128,103.70447076389088,102.76283584800896,100.07850013931504,103.53152666152155,103.73642856821377,103.59791480457336
2025-02-01,107.17198635156052,97.6876887690232,102.97207048411944,103.75696357879085,104.79831078086622,103.68138814490982,101.83379180586304,105.85455615216624,102.96976503901104,103.99069840911068,103.53953818525208,107.88934341084018,99.96161731964585,104.53173796892582,103.64645532492491,103.19599300371112,100.49696050707148,103.83639208042311,103.97551337952731,103.76403182191578
2025-02-02,107.16730729253108,97.80364280750138,102.98458045844534,103.78717366960272,104.80716853385157,103.92790477113336,101.85490490335762,106.20771962476962,103.11238653384696,103.99416420243294,103.81008271462376,107.88934341084016,100.00677297667252,104.59355265642256,103.77483514211892,103.23521847695037,100.55792183276708,104.02595245349852,104.10518301863014,103.93263760094642
