Ürün,Grup,Kod,Ağırlık,Ana Grup
Otomobil (Dizel),Dizel otomobiller (sıfır km),07111,0.013994617264543827,Ulaştırma
Elektrikli Süpürge,Diğer büyük ev aletleri (elektrikli süpürge vb.),05315,0.00247773803959475,Ev eşyası
Sakatat,Diğer etler ve yenilebilir sakatatlar,01126,0.0007738396990472353,Gıda ve alkolsüz içecekler
Kraker,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Bisküvi,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Ekmek Hamuru (Yufka),"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Baklava,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Kek,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Pasta,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Gofret,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",01114,0.011817718491661374,Gıda ve alkolsüz içecekler
Eşarp,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",03130,0.002268078658451036,Giyim ve ayakkabı
Kemer,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",03130,0.002268078658451036,Giyim ve ayakkabı
Kravat,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",03130,0.002268078658451036,Giyim ve ayakkabı
Örgü Yünü,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",03130,0.002268078658451036,Giyim ve ayakkabı
Kargo Gönderme Ücreti,"Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)",07360,0.0014259866303423397,Ulaştırma
Yoğurt,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",01143,0.005439677360619468,Gıda ve alkolsüz içecekler
Hazır Sütlü Tatlılar,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",01143,0.005439677360619468,Gıda ve alkolsüz içecekler
Dondurma,Dondurma,01184,0.0011766156056081704,Gıda ve alkolsüz içecekler
Doğalgaz Ücreti,Doğalgaz ve ilgili abonelik ücretleri,04521,0.025724409773691385,Konut
Ekmek,Ekmek,01113,0.021923775263000517,Gıda ve alkolsüz içecekler
Elektrik Ücreti,Elektrik,04510,0.017588905762935005,Konut
Elektrikli Küçük Ev Aletleri (Tost Makinası),Elektrikli küçük ev aletleri,05320,0.002514937644199953,Ev eşyası
Ütü,Elektrikli küçük ev aletleri,05320,0.002514937644199953,Ev eşyası
Sıcak İçecek Makinaları,Elektrikli küçük ev aletleri,05320,0.002514937644199953,Ev eşyası
Elektrikli Kesici Aletler (Blender),Elektrikli küçük ev aletleri,05320,0.002514937644199953,Ev eşyası
Çelik Mutfak Eşyaları,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",05403,0.0029628531565000196,Ev eşyası
Plastik Mutfak Eşyaları,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",05403,0.0029628531565000196,Ev eşyası
Teflon Mutfak Eşyaları,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",05403,0.0029628531565000196,Ev eşyası
Bot (Erkek için),Erkek ayakkabısı,03211,0.005976997924651301,Giyim ve ayakkabı
Spor Ayakkabısı (Erkek için),Erkek ayakkabısı,03211,0.005976997924651301,Giyim ve ayakkabı
Ayakkabı (Erkek için),Erkek ayakkabısı,03211,0.005976997924651301,Giyim ve ayakkabı
Erkek Mont,Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Takım Elbise (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Pantolon (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Kazak (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Gömlek (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Sweatshirt (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Eşofman (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Pijama (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
İç Çamaşırı (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Çorap (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Kaban (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Ceket (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Tişört (Erkek için),Erkek giyim,03121,0.018249614876895866,Giyim ve ayakkabı
Bulaşık Bezleri,"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",05612,0.0022378025482849145,Ev eşyası
Hijyenik Zeminler İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",05611,0.014044849399080683,Ev eşyası
Çamaşır İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",05611,0.014044849399080683,Ev eşyası
Bulaşık İçin Temizlik ve Bakım Ürünleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",05611,0.014044849399080683,Ev eşyası
Perde,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Stor Perde,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Tül,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Yatak Örtüsü,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Yorgan,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Battaniye,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Pike Takımı,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Nevresim Takımı,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Havlu,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Yastık,Ev tekstili,05200,0.005474556096385137,Ev eşyası
Evcil Hayvanlar İçin Gıda Harcamaları,Evcil hayvanlar ile ilgili ürünler,09340,0.0018250112745997005,Eğlence ve kültür
Veteriner Ücreti,Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler,09350,0.00024562457834762007,Eğlence ve kültür
"Kapı Aksesuarları (Anahtar, Kilit)",Evle ilgili küçük bakım-tamir mal ve hizmetleri,05522,0.0007689790741060852,Ev eşyası
Ankastre Fırın,"Fırın, ocak ve fırınlı ocak",05313,0.0017229432886926024,Ev eşyası
Ankastre Mikrodalga Fırın,"Fırın, ocak ve fırınlı ocak",05313,0.0017229432886926024,Ev eşyası
Ankastre Ocak (Set Üstü) ,"Fırın, ocak ve fırınlı ocak",05313,0.0017229432886926024,Ev eşyası
Kiracı Tarafından Ödenen Gerçek Kira,Gerçek kira,04111,0.05063781113380291,Konut
Halı,Halı,05120,0.0014529587036334805,Ev eşyası
Ayakkabı (Kadın için),Kadın ayakkabısı,03212,0.006167683578859179,Giyim ve ayakkabı
Spor Ayakkabısı (Kadın için),Kadın ayakkabısı,03212,0.006167683578859179,Giyim ve ayakkabı
Bot (Kadın için),Kadın ayakkabısı,03212,0.006167683578859179,Giyim ve ayakkabı
Terlik (Kadın için),Kadın ayakkabısı,03212,0.006167683578859179,Giyim ve ayakkabı
Eşofman (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Çorap (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
İç Çamaşırı (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Pijama (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Tişört (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Ceket (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Gömlek (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Kazak (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Hırka (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Pantolon (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Etek,Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Elbise (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Kaban (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Pardösü (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Sweatshirt (Kadın için),Kadın giyim,03122,0.022925069885295725,Giyim ve ayakkabı
Tahıl Gevreği,Kahvaltılık tahıl ürünleri,01116,0.00037948221714752115,Gıda ve alkolsüz içecekler
Hazır Kahve,Kahve,01211,0.0017105333255994306,Gıda ve alkolsüz içecekler
Kahve,Kahve,01211,0.0017105333255994306,Gıda ve alkolsüz içecekler
Odun Ücreti,"Katı yakıtlar (odun, kömür)",04540,0.008422261727381792,Konut
Kömür Ücreti,"Katı yakıtlar (odun, kömür)",04540,0.008422261727381792,Konut
Test Kitapları,Kitaplar,09510,0.0030187736328824307,Eğlence ve kültür
Çocuk Kitapları,Kitaplar,09510,0.0030187736328824307,Eğlence ve kültür
Diğer Kitaplar,Kitaplar,09510,0.0030187736328824307,Eğlence ve kültür
Elektrikli Saç Bakım Aletleri,Kişisel bakımda kullanılan elektrikli aletler,12120,0.0004591099756682909,Çeşitli mal ve hizmetler
Cilt ve Vücut Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Saç Bakım Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Tuvalet Kağıdı,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Mendil,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Tıraş Malzemeleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Ağız ve Diş Bakımı Ürünleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Tuvalet ve Güzellik Sabunu,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Makyaj Malzemeleri,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Parfüm,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
Bebek Bezi,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",12130,0.01914960225644927,Çeşitli mal ve hizmetler
