title,price,square_meter,room_count,building_age,floor_type,url,page_number,listing_index
Rw Mirzadan Şehir Hastanesine Yürüme Mesafesinde Kiralık 3+1,"19.000
TL",185 m²,3 + 1,5 Yaşında,12. Kat,https://www.hepsiemlak.com/gaziantep-sahinbey-akkent-kiralik/daire/156749-25,2,12
Vişnezade'de Kiralık 2+1 Ferah Daire,"22.000
TL",75 m²,2 + 1,35 Yaşında,Yarı Bodrum,https://www.hepsiemlak.com/istanbul-besiktas-visnezade-kiralik/daire/3460-3482,2,13
İncek Mahallesinde Kiralık 2+1 Dubleks Daire,"21.000
TL",90 m²,2 + 1,Sıfır Bina,2. Kat,https://www.hepsiemlak.com/ankara-golbasi-incek-kiralik/daire/153459-228,2,14
Seferihisar Atatürk Mahallesi (ömür Beldesinde) Kiralık Deniz Manzaralı Yazlık Denize 50m,"52.000
TL",180 m²,3 + 1,5 Yaşında,Bahçe Katı,https://www.hepsiemlak.com/izmir-seferihisar-ataturk-kiralik/yazlik/155632-24,2,15
Ankara Polatlı Şentepe Mahallesi 3+1 Kiralık Daire,"20.000
TL",160 m²,3 + 1,5 Yaşında,5. Kat,https://www.hepsiemlak.com/ankara-polatli-sentepe-kiralik/daire/54400-6903,2,16
Belkız'da Cam Balkonlu Sosyal İmkanlara Yakın Ultralüx 3+1,"20.500
TL",170 m²,3 + 1,Sıfır Bina,Giriş Katı,https://www.hepsiemlak.com/gaziantep-sehitkamil-belkiz-kiralik/daire/156888-129,2,17
Beykoz Merkez’de Sıfır Mutfaklı 2+1 Kiralık Daire!,"20.000
TL",100 m²,2 + 1,25 Yaşında,Bahçe Katı,https://www.hepsiemlak.com/istanbul-beykoz-merkez-kiralik/daire/153656-74,2,18
Gaziantep Şehitkamil Beykent Mah. Ultra Lüks 2+1 Kiralık Daire..,"15.000
TL",125 m²,2 + 1,2 Yaşında,1. Kat,https://www.hepsiemlak.com/gaziantep-sehitkamil-beykent-kiralik/daire/158679-4,2,19
Kiralık Daire 3+1 Site İçinde Aşagı Öveçlerde 7.Kat Çift Asansörlü Süper Manzaralı Boyalı Badanalı,"29.500
TL",130 m²,3 + 1,30 Yaşında,7. Kat,https://www.hepsiemlak.com/ankara-cankaya-asagi-ovecler-kiralik/daire/5338-8035,2,20
Mebusevleri İller Sk. Katta 4+1 Full Açık Otoparklı Yarı Möbleli,"53.000
TL",160 m²,4 + 1,34 Yaşında,3. Kat,https://www.hepsiemlak.com/ankara-cankaya-mebusevleri-kiralik/daire/4690-2356,2,21
Kavuşturan Emlak'tan Güre Çamlıbel'de Kiralık 1+1 Daire,"11.000
TL",70 m²,1 + 1,20 Yaşında,2. Kat,https://www.hepsiemlak.com/balikesir-edremit-camlibel-kiralik/daire/110461-1153,2,22
Ev Dünyası'ndan//talas Paraşut Alanı Karşısında Eşyalı 1+1 Daire,"11.999
TL",45 m²,Stüdyo,1 Yaşında,8. Kat,https://www.hepsiemlak.com/kayseri-talas-bahcelievler-kiralik/daire/121687-753,2,23
Topuz Emlak'tan Armada City 1.Etap Kiralık 2+1 Daire,"20.000
TL",90 m²,2 + 1,12 Yaşında,3. Kat,https://www.hepsiemlak.com/tekirdag-corlu-zafer-kiralik/daire/92503-371,2,24
Başlık Bulunamadı,"28.000
TL",55 m²,1 + 1,4 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-balcova-cetin-emec-kiralik/daire/145613-113,3,1
Başlık Bulunamadı,"32.000
TL",135 m²,3 + 1,21 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-atasehir-barbaros-kiralik/daire/148896-23,3,2
Başlık Bulunamadı,"60.000
TL",70 m²,1 + 1,5 Yaşında,5. Kat,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/residence/116789-1012,3,3
Başlık Bulunamadı,"95.000
TL",75 m²,1 + 1,5 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/daire/116789-1010,3,4
Başlık Bulunamadı,"33.000
TL",45 m²,Stüdyo,16 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/116789-1009,3,5
Başlık Bulunamadı,"24.500
TL",137 m²,3 + 1,8 Yaşında,2. Kat,https://www.hepsiemlak.com/eskisehir-tepebasi-ertugrulgazi-kiralik/daire/141714-332,3,6
Başlık Bulunamadı,"40.000
TL",119 m²,3 + 1,50 Yaşında,Giriş Katı,https://www.hepsiemlak.com/istanbul-beyoglu-omer-avni-kiralik/daire/40430-3801,3,7
Başlık Bulunamadı,"30.000
TL",55 m²,1 + 1,38 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/40430-3803,3,8
Başlık Bulunamadı,"59.000
TL",95 m²,3 + 1,33 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-beyoglu-omer-avni-kiralik/daire/40430-3815,3,9
Başlık Bulunamadı,"140.000
TL",180 m²,3 + 1,35 Yaşında,7. Kat,https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/77929-3048,3,10
Başlık Bulunamadı,"119.000
TL",200 m²,3 + 1,35 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-besiktas-ulus-kiralik/daire/2957-841,3,11
Başlık Bulunamadı,"60.000
TL",155 m²,3 + 1,31 Yaşında,En Üst Kat,https://www.hepsiemlak.com/istanbul-kadikoy-bostanci-kiralik/daire/61293-3041,3,12
Başlık Bulunamadı,"25.000
TL",100 m²,2 + 1,21 Yaşında,3. Kat,https://www.hepsiemlak.com/canakkale-merkez-kemalpasa-kiralik/daire/17913-8184,3,13
Başlık Bulunamadı,"11.000
TL",64 m²,2 + 0,1 Yaşında,1. Kat,https://www.hepsiemlak.com/samsun-atakum-korfez-kiralik/daire/131396-312,3,14
Başlık Bulunamadı,"35.000
TL",155 m²,3 + 1,10 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-buyukcekmece-ataturk-kiralik/daire/2915-7443,3,15
Başlık Bulunamadı,"85.000
TL",180 m²,3 + 1,1 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-bakirkoy-yesilkoy-kiralik/daire/89204-1783,3,16
Başlık Bulunamadı,"30.000
TL",200 m²,4 + 1,30 Yaşında,9. Kat,https://www.hepsiemlak.com/izmir-karabaglar-esenyali-kiralik/daire/14487-1304,3,17
Başlık Bulunamadı,"200.000
TL",230 m²,5 + 1,25 Yaşında,,https://www.hepsiemlak.com/izmir-konak-kultur-kiralik/villa/14487-1294,3,18
Başlık Bulunamadı,"18.000
TL",120 m²,3 + 1,31 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-avcilar-merkez-kiralik/daire/129657-454,3,19
Başlık Bulunamadı,"21.500
TL",85 m²,2 + 1,3 Yaşında,6. Kat,https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/144428-113,3,20
Başlık Bulunamadı,"25.000
TL",120 m²,3 + 0,30 Yaşında,Ara Kat,https://www.hepsiemlak.com/ankara-kecioren-19-mayis-kiralik/daire/2232-3264,3,21
Başlık Bulunamadı,"48.000
TL",170 m²,3 + 1,25 Yaşında,1. Kat,https://www.hepsiemlak.com/antalya-muratpasa-caglayan-kiralik/daire/5498-1339,3,22
Başlık Bulunamadı,"235.000
TL",580 m²,4 + 2,12 Yaşında,,https://www.hepsiemlak.com/istanbul-sariyer-kumkoy-kiralik/villa/81759-2549,3,23
Başlık Bulunamadı,"170.000
TL",350 m²,5 + 2,25 Yaşında,,https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/villa/81759-2209,3,24
Başlık Bulunamadı,"150.000
TL",220 m²,3 + 1,11 Yaşında,,https://www.hepsiemlak.com/istanbul-sariyer-uskumrukoy-kiralik/villa/81759-2582,4,1
Başlık Bulunamadı,"145.000
TL",230 m²,3 + 1,11 Yaşında,,https://www.hepsiemlak.com/istanbul-sariyer-uskumrukoy-kiralik/villa/81759-2551,4,2
Başlık Bulunamadı,"33.900
TL",95 m²,2 + 1,35 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/48911-370,4,3
Başlık Bulunamadı,"30.000
TL",85 m²,2 + 1,2 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-kartal-gumuspinar-kiralik/daire/156430-20,4,4
Başlık Bulunamadı,"29.000
TL",130 m²,3 + 1,20 Yaşında,Ara Kat,https://www.hepsiemlak.com/ankara-cankaya-maltepe-kiralik/daire/19844-1024,4,5
Başlık Bulunamadı,"33.500
TL",280 m²,4 + 1,6 Yaşında,6. Kat,https://www.hepsiemlak.com/ankara-kecioren-esertepe-kiralik/daire/130637-2738,4,6
Başlık Bulunamadı,"21.000
TL",100 m²,2 + 1,30 Yaşında,2. Kat,https://www.hepsiemlak.com/izmir-konak-atilla-kiralik/daire/125039-453,4,7
Başlık Bulunamadı,"25.000
TL",109 m²,3 + 1,28 Yaşında,Ara Kat,https://www.hepsiemlak.com/ankara-cankaya-sehit-cengiz-karaca-kiralik/daire/119658-15,4,8
Başlık Bulunamadı,"80.000
TL",111 m²,2 + 1,10 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-besiktas-etiler-kiralik/daire/2600-19067,4,9
Başlık Bulunamadı,"3.000
TL",70 m²,1 + 1,1 Yaşında,7. Kat,https://www.hepsiemlak.com/ankara-cankaya-camlitepe-kiralik/daire/153001-29,4,10
Başlık Bulunamadı,"1.800
TL",65 m²,1 + 1,1 Yaşında,4. Kat,https://www.hepsiemlak.com/ankara-cankaya-camlitepe-kiralik/residence/153001-30,4,11
Başlık Bulunamadı,"22.500
TL",85 m²,2 + 1,12 Yaşında,Giriş Katı,https://www.hepsiemlak.com/istanbul-kagithane-gursel-kiralik/daire/109293-1178,4,12
