,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Taze meyve ve sebze,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2025-01-14,101.89951888047196,100.88974684653411,100.93183018795088,101.7906447385045,101.4143294733084,101.06501371441487,106.1640230262433,101.60253083650764,101.98026375485031,102.5038909094254,101.51892184299867,101.32372441037427,100.37111312828664,101.54090678536217,100.60771152241762,100.6654531599718,100.05751106553888,101.01918636330572,100.36216388323064,100.02350055439938,101.39906068012932,102.2813039869336,101.46038753981954,97.65261662830538,100.0,101.2474736764691,101.81808848765
2025-01-15,102.32352040021844,101.37613267967343,101.51043501238651,102.21036859994668,101.785355935434,101.11812188876225,106.17094442826094,101.56333347139876,101.6045092162218,101.67476960136351,101.54260627607536,101.53294146238913,100.37111312828664,101.79782247070096,100.69904202275856,100.7508510132536,100.15991656326104,101.13168322795023,100.42131089271066,100.0406462366852,102.80822749071356,102.43118800722613,101.53489300452708,97.65261662830538,100.0,109.85363382879495,102.13559823677566
2025-01-16,102.53968489871022,101.49619099372619,101.61738805994165,102.44577140814474,101.9515679741636,101.17947334053764,107.00793638216425,101.49027182603744,101.21180337737809,100.86626199375497,101.51624275022519,101.69581068482223,100.93997899459171,101.86812999770673,100.8579254751941,100.89635037353659,100.4074857401194,101.21107431929892,100.62432855585104,100.06876985786,102.8589785614282,102.57617293495146,101.56659418760492,97.65261662830538,100.0,109.7986454464234,102.290891740425
2025-01-17,102.68907432771448,101.65626194021098,101.74274757864366,102.59256700897886,102.05130917592476,101.24140256113554,107.20439539073016,101.55301393340092,100.99746907179762,100.40865635367024,101.51624275022519,101.96306418292632,101.4338147140182,102.08372584081333,100.91257799120292,100.9878722396272,100.41179296570309,101.22060575993012,100.80507932319624,100.14622038868892,103.02781053029076,102.71533480111432,101.8563516174699,97.65261662830538,100.00000000000004,109.84774482755827,102.39023748675818
2025-01-18,102.838604438754,101.83601916519805,101.93743661993936,102.74215165665944,102.15518370254688,101.35864765013952,107.33495334849776,101.60460357984476,100.93630487556864,100.29496113182093,101.50136103491695,102.0978779657423,101.4338147140182,102.24927532672629,101.04659879892652,101.15708017176199,100.44392913217874,101.29778988824806,101.07767557588356,100.23142743695588,103.27085471919273,102.84934444813996,101.7766838092403,104.4967046593055,100.00000000000004,110.2331939526594,102.51277753919514
2025-01-19,102.87360041443291,101.90112504114965,102.01772159642687,102.78828140730224,102.19345608369132,101.4040967288508,107.3154257291658,101.61581922925036,100.93630487556864,100.29496113182093,101.50136103491695,102.1173719382055,101.4338147140182,102.27321365893738,101.14004392001937,101.26018259351659,100.56818483462813,101.30845596344398,101.27139989152325,100.27076598988086,103.31049613954065,102.9786235036241,101.67166782027326,104.4967046593055,100.00000000000006,110.4949061120226,102.55297072904978
2025-01-20,103.08645967951024,102.11371116852793,102.26125809606842,103.01797499482494,102.40737106576093,101.53606040009912,107.60387374549695,101.69039316612698,100.94996944829573,100.23330764031016,101.58138461796051,102.23690336041625,101.4338147140182,102.41999661453801,101.31714768459834,101.42034947658458,100.80013978665151,101.41519793608926,101.47892301701457,100.49498735063275,103.71300085166332,103.1101291703142,102.39671072576412,104.4967046593055,100.00000000000006,110.816997564326,102.75484376639533
2025-01-21,103.1603085913877,102.23914966243481,102.42767734928537,103.12897306412631,102.46444167965132,101.58800376871852,107.60565349108758,101.5821457994599,100.69191321016599,99.68298589322605,101.58082902220819,102.23923061943654,101.4338147140182,102.42285445686208,101.5050193432329,101.5833635483384,101.20567397641604,101.40151526114836,101.79830964054727,100.85756693323818,103.8972782662332,103.24096662396036,102.44124872813632,104.4967046593055,100.00000000000006,111.5614791696114,102.81800982546233
2025-01-22,103.29676919065751,102.40867503084932,102.63773247600405,103.27175334443024,102.61103887538316,101.64906515704068,107.6084493174134,101.6396394787752,100.76261029906792,99.78969192856113,101.61980041459857,102.28697880064763,101.43517910030582,102.48117751046009,101.58540511809193,101.66308194161465,101.30081505772368,101.41192663543352,101.94601001550538,101.11638560307104,104.31859767284188,103.37082283385502,103.28817096906536,104.4967046593055,100.00000000000006,111.78955844802786,102.95200400905904
2025-01-23,103.32403136624356,102.46598132800638,102.70003023607654,103.3085980999058,102.65579736127026,101.71827494404586,107.60870695602922,101.67023497876508,100.77736965529634,99.82120328478497,101.61980041459857,102.32926303209683,101.43517910030582,102.5331019697581,101.68739860834684,101.78166085069152,101.4071557439554,101.43105121094304,102.16500935321126,101.25881908227166,104.28988626455462,103.49505684686166,103.29124633359476,104.4967046593055,100.00000000000006,111.2788554740748,102.98579629761986
2025-01-24,103.61656390891366,102.83476818866659,102.8739156199305,103.58066700137157,102.78438876472882,101.92445161398923,107.61630709381612,101.8821267138401,99.974560482149,97.77236470676424,101.91480594194016,103.2901102329995,102.58672826935805,103.4504717238403,101.85409591294288,102.01813792925465,101.45173754865904,101.47020494760316,102.614719857461,101.6112752450092,104.32873966224015,103.61626339870708,103.25418945318069,104.4967046593055,100.00000000000006,111.39006302383468,103.11458551984792
2025-01-25,103.7545414994224,103.03656982640098,103.04510092396912,103.71811922664722,102.82720095075116,102.00005449897084,107.61592838713868,101.86053608568923,99.52316417651448,96.73763137545708,101.97735895372804,103.5857611770071,102.91809773459536,103.73797933234724,102.02425221192628,102.2407073314515,101.5568536255723,101.48588146427328,103.05388369809953,101.70134699565725,104.3913335064668,103.73468991654632,103.0538079357505,107.88934341084016,100.00000000000006,111.57091034048592,103.17558137659088
2025-01-26,103.87164829925898,103.21160776752976,103.2599341891312,103.85073550205914,103.00169488078411,102.1590320616549,107.61724371905623,102.03581110599704,99.86077585072996,97.47228133035219,101.96515989355616,103.64121475706278,102.91809773459536,103.80607557205278,102.21278769145314,102.44904067058455,101.73844430011324,101.55814595430084,103.40042080949546,101.8189284844484,104.60198503667225,103.85392560133936,103.48182968374536,107.88934341084016,100.00000000000006,111.58405749875236,103.33576965337568
2025-01-27,103.9808918322888,103.35485639859976,103.4178001383647,103.96187517137469,103.13075066635828,102.32489517922042,107.62285265629612,102.19439402141852,100.09737004757085,97.60159188127034,102.29627638911283,103.74221718236957,103.19568555223562,103.86681893722007,102.4274953343144,102.67596566800216,102.06315872976128,101.58864005886348,103.81550587821812,101.87466735375156,104.6422648330253,103.97393161168684,103.4833196903658,107.88934341084016,100.00000000000006,111.55823678376322,103.46346014226498
2025-01-28,104.12966418716717,103.61859506290395,103.74761697254591,104.19143377244566,103.36998512426402,102.60470797468872,107.62374459268251,102.30654683601789,100.27139705953039,97.72082936027509,102.51857574077432,103.80870036374883,103.40290549668293,103.90121605681742,102.92342342760708,103.13449120661632,102.9764819649056,101.69226367052826,104.59074767236916,102.01953917238129,104.76765639430342,104.085035876465,103.63456333004036,107.88934341084016,100.00000000000006,111.70682339021482,103.6857423039692
2025-01-29,104.12064119873392,103.69846309181905,103.83382879850792,104.1561372122079,103.4244753208096,102.79990858824372,107.2985009233148,102.58555877918758,100.84608582003851,98.55654369613903,102.86328781477047,103.86947187107229,103.40290549668293,103.97584263865053,103.07374417344786,103.36959528362624,102.9613640503172,101.65180886225085,105.12292733736663,102.05976141100854,104.57043438280128,104.085035876465,103.77588189763608,107.88934341084016,100.00000000000006,109.97413980560223,103.72838684080766
2025-01-30,103.9548674595303,103.48883227571692,103.51379550897697,103.98385145907493,103.25290474718376,102.86340092714713,107.3318539492261,102.64015091509472,100.80942136374489,98.33577094009333,102.98883204886515,103.99142092266528,103.40290549668293,104.12559441014673,103.15807053677338,103.44517283915096,103.07968600486518,101.68622274808855,105.23744329117704,102.56080659285848,103.60915329219864,104.0340476837632,103.46154927493414,107.88934341084016,100.00000000000006,104.57636627337784,103.57149902644504
2025-01-31,103.97556781887738,103.5916953715388,103.59894288445115,104.02978623512196,103.19077600464784,102.8097746529333,107.04559377815757,102.41950001959304,100.07850013931505,96.90597938339975,102.87365080737149,104.14740293327765,103.40290549668293,104.31713819097656,103.25574816267942,103.53304475219996,103.25414810421248,101.713482317125,105.37865700459744,102.69735242768142,103.70447178496246,104.03377997588824,103.73010406567154,107.88934341084016,100.00000000000006,104.39280349290128,103.5160486879372
2025-02-01,104.17052465389357,103.83642380323481,103.76505211116788,104.25389536631737,103.45122855464749,103.17591239066356,107.17198635156052,102.86827802951338,100.48397346275222,97.65415359882229,102.97718737424353,104.60630124993058,103.7568343256925,104.79996811861953,103.55807193849851,103.83790747739428,103.68230321089406,101.83379180586304,105.8576363556528,102.96976503901097,103.6464571512019,103.99069840911066,103.53953818525208,107.88934341084016,100.00000000000006,104.53173796892582,103.761146653369
