iter	RMSE
139	0.1754382207
140	0.1750204549
141	0.1746763121
142	0.174315325
143	0.1738493019
144	0.1737266556
145	0.1735087584
146	0.1732996698
147	0.1730562554
148	0.1728090068
149	0.1724942781
150	0.1722166772
151	0.1719448409
152	0.1717619405
153	0.1713319123
154	0.1711256247
155	0.1708096984
156	0.1705564532
157	0.1701473527
158	0.169686874
159	0.1693419246
160	0.1690063011
161	0.1688435597
162	0.1684786303
163	0.1682461125
164	0.1679617974
165	0.1675049824
166	0.1671669813
167	0.1668433666
168	0.1664972858
169	0.1661512687
170	0.1656171018
171	0.1653932192
172	0.1649754842
173	0.1645587505
174	0.1643489163
175	0.164079629
176	0.1636691142
177	0.1635087235
178	0.1632380265
179	0.1627942017
180	0.1625191638
181	0.1620065317
182	0.1615555697
183	0.1613595497
184	0.161119257
185	0.160813389
186	0.1606309583
187	0.1603891064
188	0.1601383251
189	0.1598931215
190	0.1595861816
191	0.1594662162
192	0.1590452304
193	0.1587448822
194	0.1585601774
195	0.1584547537
196	0.1581610317
197	0.1578370591
198	0.1576852078
199	0.157420213
200	0.1570953505
201	0.1569083557
202	0.156723411
203	0.1564399786
204	0.1561550184
205	0.1558935643
206	0.1556656114
207	0.1554781049
208	0.1552844854
209	0.1551304943
210	0.1548520472
211	0.1546094656
212	0.1543087802
213	0.1540991501
214	0.1538625189
215	0.1536631735
216	0.1533996562
217	0.1530072085
218	0.1528073374
219	0.1524683118
220	0.1521316237
221	0.1517778431
222	0.1516439639
223	0.1513452695
224	0.1509936631
225	0.150767418
226	0.1504572983
227	0.1503630901
228	0.1503325375
229	0.1501211651
230	0.1496335303
231	0.1493200961
232	0.1491887318
233	0.1487524771
234	0.1484383828
235	0.1482008366
236	0.1479735762
237	0.1477763059
238	0.1473899999
239	0.1471766843
240	0.1470480928
241	0.1466996407
242	0.146496892
243	0.1463819693
244	0.1462236631
245	0.1459709289
246	0.1458825881
247	0.1455587225
248	0.1453507893
249	0.1451471498
250	0.1450475286
251	0.1449169806
252	0.1447678976
253	0.1445087916
254	0.1443974378
255	0.1442834427
256	0.1441313468
257	0.1439002808
258	0.1437129786
259	0.1435736443
260	0.1433688251
261	0.1432061146
262	0.1429770354
263	0.1428521975
264	0.1425177132
265	0.1423176829
266	0.141924757
267	0.1418105543
268	0.1416390663
269	0.1414750931
270	0.1412504588
271	0.1410357527
272	0.1408710181
273	0.1407050427
274	0.1405027604
275	0.1402886624
276	0.1400945794
277	0.1397762945
278	0.1395626924
279	0.1394392659
280	0.1393037196
281	0.1390901735
282	0.1389279504
283	0.1388288915
284	0.1386612547
285	0.1384435021
286	0.1382909698
287	0.1380661625
288	0.1377222879
289	0.1375811888
290	0.1375318977
291	0.1374200614
292	0.1371590332
293	0.1370539529
294	0.1368567194
295	0.136758771
296	0.1366428155
297	0.1364784478
298	0.1363904196
299	0.136183739
300	0.1360762946
301	0.1358505113
302	0.1355929872
303	0.1353150686
304	0.1352187585
305	0.1351012476
306	0.1348866107
307	0.1347708077
308	0.1345866697
309	0.134505583
310	0.1343237139
311	0.1342050301
312	0.1340431808
313	0.1339017548
314	0.1337368482
315	0.1336119964
316	0.1334456058
317	0.1332642484
318	0.1330313252
319	0.1328248001
320	0.1326772523
321	0.1325890324
322	0.1323327528
323	0.1322509641
324	0.1321873225
325	0.1321044879
326	0.1319771498
327	0.1318617242
328	0.1317641565
329	0.1315971029
330	0.1314808503
331	0.1313231547
332	0.1310776115
333	0.1309671393
334	0.1308190461
335	0.1306624374
336	0.130593571
337	0.1304836421
338	0.1304015541
339	0.130140661
340	0.1300141445
341	0.1299404683
342	0.1298127012
343	0.129733276
344	0.1296129072
345	0.1294185055
346	0.1292815852
347	0.1291333123
348	0.128935827
349	0.1288322039
350	0.1286274729
351	0.1284294421
352	0.1282194618
353	0.1281563181
354	0.1278946796
355	0.1277738779
356	0.1276938631
357	0.1275187008
358	0.127468692
359	0.1273579953
360	0.1271941497
361	0.1270607072
362	0.1269772627
363	0.1268694259
364	0.1267250667
365	0.1265199422
366	0.126442321
367	0.126257506
368	0.1260837428
369	0.125825175
370	0.1256224279
371	0.1254496621
372	0.125208041
373	0.125108146
374	0.1250244356
375	0.1249062243
376	0.1248064588
377	0.124692421
378	0.1244793552
379	0.1243056903
380	0.124226696
381	0.124021657
382	0.1239159906
383	0.1237490103
384	0.1236350901
385	0.1233665159
386	0.123242609
387	0.1230486135
388	0.1230068904
389	0.1228755759
390	0.1227890103
391	0.1227202385
392	0.1226255816
393	0.1224815603
394	0.1223525952
395	0.1221951483
396	0.1221469726
397	0.1220240349
398	0.1217414657
399	0.1216293074
400	0.1215377731
401	0.1214133523
402	0.1213303552
403	0.1212453117
404	0.1211011027
405	0.1210046171
406	0.1208252598
407	0.1207306121
408	0.1205880442
409	0.1204189051
410	0.120267599
411	0.12011334
412	0.1199933843
413	0.1199392681
414	0.1199047148
415	0.1196766555
416	0.1195640775
417	0.1194401815
418	0.1193290129
419	0.1190684792
420	0.1189424573
421	0.1188120551
422	0.1187294669
423	0.1184880228
424	0.1182810661
425	0.1181700397
426	0.1180717068
427	0.1179187352
428	0.1177565226
429	0.1175457316
430	0.1173425103
431	0.1170236868
432	0.1168368974
433	0.1167107381
434	0.1165112388
435	0.1163644648
436	0.1161711391
437	0.1160985399
438	0.1159327153
439	0.1158540359
440	0.1157530363
441	0.1155474023
442	0.1153784919
443	0.1152139628
444	0.1151379895
445	0.1149511604
446	0.114779368
447	0.114714319
448	0.1145999082
449	0.1144811209
450	0.114338132
451	0.1141431822
452	0.1139179063
453	0.1138234187
454	0.1136137716
455	0.1135200472
456	0.1133756605
457	0.1131111936
458	0.112926461
459	0.1128332157
460	0.112741875
461	0.1126701295
462	0.1124788942
463	0.1122923677
464	0.1121027912
465	0.1119404102
466	0.1117905032
467	0.1115748247
468	0.1114329275
469	0.111313681
470	0.1111160621
471	0.1109635321
472	0.1108835282
473	0.1106655505
474	0.1104759059
475	0.1102886236
476	0.1100565027
477	0.1099316678
478	0.1097497477
479	0.1095835129
480	0.1094825276
481	0.1093937481
482	0.1091739878
483	0.1090750531
484	0.1089913722
485	0.1088130554
486	0.1087279151
487	0.1086325199
488	0.1085011
489	0.1083647599
490	0.1081844924
491	0.108044541
492	0.1078936517
493	0.1077944586
494	0.1076589476
495	0.1074831658
496	0.107270643
497	0.1071302188
498	0.1069945311
499	0.1068562216
500	0.1066835833
501	0.1065843089
502	0.1064244192
503	0.1061969471
504	0.1061084879
505	0.1060192445
506	0.1058406219
507	0.1056968407
508	0.1056101301
509	0.1054742582
510	0.1052179442
511	0.1050529996
512	0.1048806897
513	0.1047555956
514	0.1046488114
515	0.1045430938
516	0.1043794972
517	0.1041677589
518	0.1041112729
519	0.103944931
520	0.1037831131
521	0.1035478514
522	0.1033257075
523	0.1031813184
524	0.1029996187
525	0.1028883571
526	0.1027790385
527	0.1026876574
528	0.1025607461
529	0.102342505
530	0.1021210623
531	0.1019808932
532	0.1017901176
533	0.1016091166
534	0.1014275565
535	0.101270028
536	0.101135921
537	0.1010238237
538	0.1008670698
539	0.1008127826
540	0.1006461843
541	0.1005208352
542	0.1003668358
543	0.1003091403
544	0.1001086683
545	0.0999678633
546	0.09975286363
547	0.09961751472
548	0.09953052246
549	0.09934934344
550	0.0992183148
551	0.09907842989
552	0.09891633689
553	0.09871781098
554	0.09855331195
555	0.09839819718
556	0.09832160974
557	0.09820511091
558	0.09812585041
559	0.09800670688
560	0.09791744663
561	0.09771151067
562	0.09755514049
563	0.09736983611
564	0.09719918612
565	0.097031204
566	0.09684757761
567	0.09667523931
568	0.09653669799
569	0.09638002451
570	0.09630058532
571	0.09622092214
572	0.09609667437
573	0.09595633335
574	0.09586506247
575	0.09568893853
576	0.09557570777
577	0.09548450807
578	0.09537815601
579	0.09524677191
580	0.09498302244
581	0.09485993698
582	0.09474473848
583	0.09459547655
584	0.09443164189
585	0.09425832091
586	0.0941495132
587	0.09401048806
588	0.09389288764
589	0.09381755857
590	0.09362572936
591	0.09347448288
592	0.09333343348
593	0.09326013572
594	0.09311295531
595	0.0929336322
596	0.09283188636
597	0.09276789332
598	0.09258097431
599	0.09250820653
600	0.09227046461
601	0.09208373217
602	0.09199349802
603	0.09191513885
604	0.09183607425
605	0.09165599317
606	0.09153218931
607	0.09144236976
608	0.09134859479
609	0.09120949543
610	0.09108585191
611	0.09096529837
612	0.09081786501
613	0.09070915774
614	0.09060463469
615	0.0905166544
616	0.0903736583
617	0.09023468479
618	0.09013624782
619	0.08999513837
620	0.08981340313
621	0.08955710613
622	0.08945769614
623	0.08920513331
624	0.08914672503
625	0.08893902421
626	0.08885713389
627	0.08878123431
628	0.0886836539
629	0.08859503617
630	0.08846344867
631	0.0882746112
632	0.08820036464
633	0.08809756073
634	0.08794107514
635	0.08780701143
636	0.08773444192
637	0.08759431245
638	0.08748390911
639	0.0873060011
640	0.08708841869
641	0.08700863284
642	0.08693930375
643	0.0867982091
644	0.08663331348
645	0.08656141463
646	0.08644763392
647	0.08633776373
648	0.08624867849
649	0.08617762162
650	0.08611187402
651	0.08596760821
652	0.08581494685
653	0.08571891315
654	0.08552949488
655	0.08540708584
656	0.08524597065
657	0.08515180513
658	0.08510473047
659	0.08496063944
660	0.08490196356
661	0.08477028472
662	0.08465803288
663	0.08450293332
664	0.08439172342
665	0.08429651988
666	0.08421532685
667	0.08408509137
668	0.0840078664
669	0.08391760571
670	0.083872365
671	0.08371905063
672	0.08362535688
673	0.08355115928
674	0.08344095594
675	0.08336720567
676	0.08321239842
677	0.08311646998
678	0.08303022146
679	0.08293911889
680	0.08283987187
681	0.08269683124
682	0.08262159244
683	0.08250279767
684	0.08237859143
685	0.08229367833
686	0.08222471116
687	0.08209149262
688	0.0819319208
689	0.08184614871
690	0.0817821269
691	0.0816182324
692	0.08146256203
693	0.08139879346
694	0.08129507132
695	0.08124139161
696	0.08117872858
697	0.08105949376
698	0.08093780334
699	0.08082365309
700	0.08069918003
701	0.08062120437
702	0.08050141743
703	0.08039894217
704	0.08026140936
705	0.08014747942
706	0.0800224984
707	0.0799014527
708	0.07981162817
709	0.07969447483
710	0.07959912289
711	0.07950687642
712	0.07942302946
713	0.07933532461
714	0.07925141883
715	0.0790991427
716	0.07901710727
717	0.07892851599
718	0.0787298648
719	0.07852695382
720	0.07843370916
721	0.07826165543
722	0.07815075336
723	0.07807963221
724	0.07793787139
725	0.07785694057
726	0.07776770066
727	0.07766486287
728	0.0775297171
729	0.07744796696
730	0.07737009904
731	0.07730991177
732	0.07715720705
733	0.07704413599
734	0.07698473416
735	0.07688024265
736	0.07679700226
737	0.07673419491
738	0.07667373679
739	0.07653131555
740	0.07639830154
741	0.0762923699
742	0.07621675093
743	0.07616235128
744	0.07603558706
745	0.07595301139
746	0.075866907
747	0.07576296297
748	0.07565993251
749	0.07562506989
750	0.07558133312
751	0.07555222332
752	0.07540578082
753	0.07527070685
754	0.07514937998
755	0.07500934444
756	0.07498481053
757	0.07490794625
758	0.07478239974
759	0.07469638551
760	0.07462413647
761	0.07454688249
762	0.07447471688
763	0.07440404844
764	0.07427345721
765	0.07412585364
766	0.07400926382
767	0.07395336474
768	0.07388487789
769	0.0737582816
770	0.07368667866
771	0.07355773219
772	0.07345549897
773	0.0733533009
774	0.07319561053
775	0.07307246795
776	0.07290848486
777	0.07281660121
778	0.07274998526
779	0.0726560145
780	0.07253468185
781	0.07241320586
782	0.07234495114
783	0.07223446417
784	0.07220023091
785	0.07204737139
786	0.07198236602
787	0.07186554199
788	0.0718323029
789	0.0717669424
790	0.07170293928
791	0.07167338804
792	0.07160008753
793	0.07152194692
794	0.07141502001
795	0.07129410479
796	0.07123180241
797	0.07111040084
798	0.07104080067
799	0.07097360595
800	0.07089486579
801	0.07080242141
802	0.07074399076
803	0.07060981858
804	0.07054095931
805	0.07047838736
806	0.07033941308
807	0.07018498866
808	0.07010049852
809	0.07004644787
810	0.06990425999
811	0.06979257116
812	0.06961472604
813	0.06950396811
814	0.06942024934
815	0.06927339313
816	0.06916652103
817	0.06905855774
818	0.06889030207
819	0.06883246833
820	0.06880329602
821	0.06872954318
822	0.06865971616
823	0.06855432136
824	0.06849429696
825	0.06843462183
826	0.068302682
827	0.06818249666
828	0.06802870334
829	0.06791908768
830	0.06781547454
831	0.06775783371
832	0.06764635033
833	0.06756333511
834	0.06747304222
835	0.06739127879
836	0.06733093774
837	0.06728103994
838	0.06718238282
839	0.06714398078
840	0.06707793076
841	0.06699249145
842	0.06693299675
843	0.06675178721
844	0.06672656258
845	0.06661546216
846	0.06655637571
847	0.06651371645
848	0.06642832576
849	0.06640738628
850	0.06637107551
851	0.06628514589
852	0.06620892436
853	0.0661213376
854	0.06604019328
855	0.06598187889
856	0.06592754701
857	0.06583881742
858	0.06573402513
859	0.06565828681
860	0.0655796681
861	0.0654751643
862	0.06540917343
863	0.06532770638
864	0.06526318292
865	0.06521203542
866	0.06515378117
867	0.06509312308
868	0.06497120604
869	0.06490794705
870	0.06473396854
871	0.06466864657
872	0.06455657757
873	0.06443632202
874	0.06438678665
875	0.06430802675
876	0.06426006475
877	0.06412857694
878	0.06406305226
879	0.06395960153
880	0.06384152664
881	0.06373853451
882	0.06367952041
883	0.06361842
884	0.06357471293
885	0.06353325901
886	0.06346159997
887	0.06328624452
888	0.06318642244
889	0.06306475287
890	0.06300358029
891	0.06293384699
892	0.0628882564
893	0.06281647249
894	0.06268859425
895	0.06262949064
896	0.06255998573
897	0.06250107391
898	0.06242164645
899	0.06239966333
900	0.06230758684
901	0.06223170595
902	0.06221222615
903	0.06216857093
904	0.06205927644
905	0.06199163597
906	0.0619306679
907	0.06185903249
908	0.06177146914
909	0.06170343045
910	0.06160614926
911	0.06146901051
912	0.06133945153
913	0.06128616175
914	0.06124603954
915	0.06123134756
916	0.06119423023
917	0.06102900492
918	0.06095240672
919	0.06088981756
920	0.06080096961
921	0.06075987568
922	0.06067335588
923	0.0606534989
924	0.06061708698
925	0.06051915804
926	0.06048364235
927	0.06041759712
928	0.0602647928
929	0.06020417894
930	0.06017121342
931	0.0600233453
932	0.05993645166
933	0.0598971669
934	0.0598406201
935	0.05975412188
936	0.05966239347
937	0.05957007715
938	0.05955439769
939	0.05950013582
940	0.05948045995
941	0.05939699723
942	0.05931758944
943	0.05929314346
944	0.05923900114
945	0.0591787387
946	0.05909625639
947	0.05902399298
948	0.05896157254
949	0.05887358473
950	0.05879796108
951	0.05871078296
952	0.05855984987
953	0.05848288607
954	0.05843567271
955	0.0583872679
956	0.05831673238
957	0.0582477546
958	0.05813064642
959	0.05808403999
960	0.05798174983
961	0.05790342788
962	0.05783488536
963	0.05777899598
964	0.05766755078
965	0.0576170463
966	0.05746944482
967	0.05739640799
968	0.05730336765
969	0.0572572802
970	0.05718830256
971	0.05711754682
972	0.057048455
973	0.0569931545
974	0.05691683975
975	0.05688886527
976	0.05676904172
977	0.05673727988
978	0.05669899031
979	0.05664936721
980	0.05657043645
981	0.05648054264
982	0.05641999192
983	0.0563773384
984	0.05626783209
985	0.05621065159
986	0.05616465385
987	0.05610410387
988	0.05604751979
989	0.05593243036
990	0.05586658703
991	0.05575814223
992	0.05570828964
993	0.05563064786
994	0.05558484026
995	0.0555164492
996	0.05544718835
997	0.05538215089
998	0.05531764473
999	0.05527667894
